codigo_x,prediction,actual,Veredict,False negative,
7503,sigue,fue,FP,FN,
7588,sigue,fue,FP,FN,
7821,sigue,fue,FP,FN,
5588,sigue,fue,FP,FN,
6203,sigue,sigue,TP,-,
6582,sigue,fue,FP,FN,
7392,sigue,fue,FP,FN,
7226,sigue,sigue,TP,-,
7664,sigue,fue,FP,FN,
3326,sigue,sigue,TP,-,
449,sigue,sigue,TP,-,
6934,sigue,sigue,TP,-,
7137,sigue,sigue,TP,-,
6682,sigue,sigue,TP,-,
1269,sigue,sigue,TP,-,
6006,sigue,fue,FP,FN,
1419,sigue,sigue,TP,-,
3525,sigue,sigue,TP,-,
7855,sigue,fue,FP,FN,
6885,sigue,sigue,TP,-,
4775,sigue,sigue,TP,-,
7528,sigue,fue,FP,FN,
4832,sigue,sigue,TP,-,
7836,sigue,fue,FP,FN,
7824,sigue,fue,FP,FN,
3321,sigue,sigue,TP,-,
2112,sigue,fue,FP,FN,
624,sigue,sigue,TP,-,
6877,sigue,fue,FP,FN,
4385,sigue,sigue,TP,-,
7378,sigue,fue,FP,FN,
366,sigue,sigue,TP,-,
7755,sigue,fue,FP,FN,
6206,sigue,sigue,TP,-,
4366,sigue,fue,FP,FN,
4366,sigue,fue,FP,FN,
366,sigue,sigue,TP,-,
366,sigue,sigue,TP,-,
7618,sigue,sigue,TP,-,
7840,sigue,fue,FP,FN,
7505,sigue,fue,FP,FN,
6600,sigue,sigue,TP,-,
7685,sigue,sigue,TP,-,
7331,sigue,fue,FP,FN,
5933,sigue,sigue,TP,-,
7170,sigue,sigue,TP,-,
5201,sigue,sigue,TP,-,
3890,sigue,sigue,TP,-,
7834,sigue,sigue,TP,-,
7851,sigue,fue,FP,FN,
3652,sigue,fue,FP,FN,
1123,sigue,sigue,TP,-,
4044,sigue,fue,FP,FN,
7593,sigue,fue,FP,FN,
7865,sigue,fue,FP,FN,
7866,fue,fue,TP,-,
7259,sigue,sigue,TP,-,
7312,sigue,fue,FP,FN,
7338,sigue,sigue,TP,-,
5677,sigue,sigue,TP,-,
7737,fue,fue,TP,-,
4008,sigue,fue,FP,FN,
6210,sigue,fue,FP,FN,
6213,sigue,fue,FP,FN,
7812,sigue,fue,FP,FN,
849,sigue,sigue,TP,-,
7536,sigue,sigue,TP,-,
7430,sigue,fue,FP,FN,
5181,sigue,sigue,TP,-,
7655,sigue,fue,FP,FN,
7858,fue,fue,TP,-,
7057,sigue,fue,FP,FN,
5558,sigue,sigue,TP,-,
4746,sigue,fue,FP,FN,
7663,sigue,sigue,TP,-,
7407,sigue,fue,FP,FN,
7828,sigue,fue,FP,FN,
7773,sigue,sigue,TP,-,
7839,sigue,fue,FP,FN,
1424,sigue,sigue,TP,-,
5280,sigue,sigue,TP,-,
7742,sigue,fue,FP,FN,
7853,sigue,fue,FP,FN,
6461,sigue,sigue,TP,-,
6765,sigue,sigue,TP,-,
7694,sigue,fue,FP,FN,
6657,fue,fue,TP,-,
5000,sigue,sigue,TP,-,
5644,sigue,sigue,TP,-,
6638,sigue,sigue,TP,-,
7800,sigue,sigue,TP,-,
6690,sigue,sigue,TP,-,
7861,fue,fue,TP,-,
7168,sigue,sigue,TP,-,
7786,sigue,fue,FP,FN,
4314,sigue,sigue,TP,-,
7843,fue,fue,TP,-,
7848,sigue,sigue,TP,-,
7632,sigue,sigue,TP,-,
6504,sigue,fue,FP,FN,
7842,fue,fue,TP,-,
7801,sigue,fue,FP,FN,
7604,sigue,fue,FP,FN,
7061,sigue,fue,FP,FN,
7805,fue,fue,TP,-,
7847,sigue,fue,FP,FN,
7633,sigue,sigue,TP,-,
7428,sigue,fue,FP,FN,
2897,sigue,sigue,TP,-,
7558,sigue,fue,FP,FN,
6360,sigue,fue,FP,FN,
7614,sigue,sigue,TP,-,
3318,sigue,sigue,TP,-,
7706,fue,fue,TP,-,
7804,sigue,sigue,TP,-,
5139,sigue,fue,FP,FN,
6083,sigue,sigue,TP,-,
6766,sigue,sigue,TP,-,
4137,sigue,sigue,TP,-,
7542,sigue,sigue,TP,-,
7756,sigue,fue,FP,FN,
3780,sigue,sigue,TP,-,
6205,sigue,sigue,TP,-,
5027,sigue,sigue,TP,-,
7791,sigue,fue,FP,FN,
7818,fue,sigue,FP,-,
7815,sigue,sigue,TP,-,
6839,sigue,sigue,TP,-,
5646,sigue,sigue,TP,-,
7708,sigue,sigue,TP,-,
7852,sigue,fue,FP,FN,
7833,fue,fue,TP,-,
5679,sigue,fue,FP,FN,
7530,sigue,sigue,TP,-,
6028,sigue,sigue,TP,-,
6565,sigue,sigue,TP,-,
7731,sigue,fue,FP,FN,
7753,sigue,fue,FP,FN,
3676,sigue,sigue,TP,-,
3221,sigue,sigue,TP,-,
7741,sigue,fue,FP,FN,
7779,sigue,sigue,TP,-,
7269,sigue,fue,FP,FN,
7844,sigue,fue,FP,FN,
7845,sigue,sigue,TP,-,
2522,sigue,sigue,TP,-,
7856,sigue,fue,FP,FN,
236,sigue,fue,FP,FN,
7080,sigue,sigue,TP,-,
5965,sigue,sigue,TP,-,
5447,sigue,sigue,TP,-,
6685,sigue,sigue,TP,-,
5549,sigue,sigue,TP,-,
7860,fue,fue,TP,-,
854,sigue,sigue,TP,-,
7295,sigue,sigue,TP,-,
6832,sigue,fue,FP,FN,
4807,sigue,sigue,TP,-,
6821,sigue,fue,FP,FN,
7850,sigue,fue,FP,FN,
7862,sigue,fue,FP,FN,
3169,sigue,sigue,TP,-,
4514,sigue,sigue,TP,-,
7814,sigue,sigue,TP,-,
7104,sigue,fue,FP,FN,
7754,sigue,sigue,TP,-,
7717,sigue,fue,FP,FN,
6014,sigue,sigue,TP,-,
7775,sigue,fue,FP,FN,
7551,sigue,fue,FP,FN,
7715,sigue,fue,FP,FN,
3827,sigue,sigue,TP,-,
5412,sigue,sigue,TP,-,
4504,sigue,fue,FP,FN,
7395,sigue,sigue,TP,-,
214,sigue,sigue,TP,-,
7849,sigue,sigue,TP,-,
6321,sigue,fue,FP,FN,
5232,sigue,sigue,TP,-,
4958,sigue,sigue,TP,-,
3979,sigue,sigue,TP,-,
7854,sigue,fue,FP,FN,
442,sigue,sigue,TP,-,
7699,sigue,fue,FP,FN,
7857,sigue,fue,FP,FN,
7330,sigue,sigue,TP,-,
7719,sigue,fue,FP,FN,
7841,sigue,fue,FP,FN,
7846,sigue,sigue,TP,-,
7421,sigue,fue,FP,FN,
7776,sigue,fue,FP,FN,
7823,sigue,fue,FP,FN,
7298,sigue,sigue,TP,-,
7758,sigue,fue,FP,FN,
5396,sigue,sigue,TP,-,
5704,sigue,fue,FP,FN,
7503,sigue,fue,FP,FN,
7588,sigue,fue,FP,FN,
7821,sigue,fue,FP,FN,
5588,sigue,fue,FP,FN,
6203,sigue,sigue,TP,-,
6582,sigue,fue,FP,FN,
7392,sigue,fue,FP,FN,
7226,sigue,sigue,TP,-,
7664,sigue,fue,FP,FN,
3326,sigue,sigue,TP,-,
449,sigue,sigue,TP,-,
7863,fue,fue,TP,-,
6934,sigue,sigue,TP,-,
7137,sigue,sigue,TP,-,
6682,sigue,sigue,TP,-,
1269,sigue,sigue,TP,-,
7864,fue,fue,TP,-,
6006,sigue,fue,FP,FN,
1419,sigue,sigue,TP,-,
3525,sigue,sigue,TP,-,
7859,sigue,fue,FP,FN,
7855,sigue,fue,FP,FN,
6885,sigue,sigue,TP,-,
4775,sigue,sigue,TP,-,
7528,sigue,fue,FP,FN,
4832,sigue,sigue,TP,-,
7836,sigue,fue,FP,FN,
7824,sigue,fue,FP,FN,
3321,sigue,sigue,TP,-,
2112,sigue,fue,FP,FN,
624,sigue,sigue,TP,-,
6877,sigue,fue,FP,FN,
4385,sigue,sigue,TP,-,
7378,fue,fue,TP,-,
366,sigue,sigue,TP,-,
7755,fue,fue,TP,-,
6206,fue,sigue,FP,-,
4366,sigue,fue,FP,FN,
7618,sigue,sigue,TP,-,
7840,fue,fue,TP,-,
7505,sigue,fue,FP,FN,
6600,sigue,sigue,TP,-,
7685,sigue,sigue,TP,-,
7331,sigue,fue,FP,FN,
5933,sigue,sigue,TP,-,
7170,sigue,sigue,TP,-,
5201,sigue,sigue,TP,-,
3890,sigue,sigue,TP,-,
7834,sigue,sigue,TP,-,
7851,sigue,fue,FP,FN,
7867,fue,fue,TP,-,
3652,fue,fue,TP,-,
1123,sigue,sigue,TP,-,
4044,sigue,fue,FP,FN,
7593,sigue,fue,FP,FN,
7865,sigue,fue,FP,FN,
7866,fue,fue,TP,-,
7259,sigue,sigue,TP,-,
7312,sigue,fue,FP,FN,
7338,sigue,sigue,TP,-,
5677,sigue,sigue,TP,-,
7737,fue,fue,TP,-,
4008,sigue,fue,FP,FN,
6210,sigue,fue,FP,FN,
6213,sigue,fue,FP,FN,
7812,sigue,fue,FP,FN,
849,sigue,sigue,TP,-,
7536,sigue,sigue,TP,-,
7430,sigue,fue,FP,FN,
5181,sigue,sigue,TP,-,
7655,sigue,fue,FP,FN,
7858,fue,fue,TP,-,
7057,sigue,fue,FP,FN,
5558,sigue,sigue,TP,-,
4746,sigue,fue,FP,FN,
7663,sigue,sigue,TP,-,
7407,sigue,fue,FP,FN,
7828,sigue,fue,FP,FN,
7773,sigue,sigue,TP,-,
7839,sigue,fue,FP,FN,
1424,sigue,sigue,TP,-,
5280,sigue,sigue,TP,-,
7742,sigue,fue,FP,FN,
7853,sigue,fue,FP,FN,
6461,sigue,sigue,TP,-,
6765,sigue,sigue,TP,-,
7694,fue,fue,TP,-,
5000,sigue,sigue,TP,-,
5644,sigue,sigue,TP,-,
6638,sigue,sigue,TP,-,
7800,sigue,sigue,TP,-,
6690,sigue,sigue,TP,-,
7168,sigue,sigue,TP,-,
7786,sigue,fue,FP,FN,
4314,sigue,sigue,TP,-,
7848,sigue,sigue,TP,-,
7632,sigue,sigue,TP,-,
6504,sigue,fue,FP,FN,
7801,sigue,fue,FP,FN,
7604,sigue,fue,FP,FN,
7061,sigue,fue,FP,FN,
